Theme,Total_Frequency,Example_Description,Universities_Covered
**Privacy & Ethical Concerns**,4,Sharing student work with detection software or AI systems raises privacy issues and potential ethical violations.,1
**Probabilistic Nature of AI**,4,"Emphasizes that AI outputs are always probability‑based, not certainties, and this uncertainty can be problematic.",1
**Proctoring & Assessment Design**,4,"Discusses options such as in‑person/Zoom proctored exams, trade‑offs, and when they are appropriate.",1
**Procurement / Acquisition Review**,4,"Requirement for a security review before acquiring any generative‑AI software, even free tools, and the use of a dedicated review form.",1
**Prohibited Use – Harassment & Hate**,4,"Bans on generating content that facilitates sexual harassment, stalking, discrimination, or other harassing behavior.",1
**Prohibited vs Permissible Use**,4,"Distinguishes what kinds of AI use are allowed (e.g., rephrasing) versus disallowed (full drafts, unquoted text).",1
**Prompt Engineering & Fine‑Tuning**,4,"Mentions specific techniques used to train the model on Roebling’s writings, including prompt engineering and fine‑tuning.",1
**Prompt Engineering / Training**,4,"Instructions on crafting effective prompts, practicing, and developing a standard prompt language.",1
**Resource & Community Development**,4,"Links to Teaching@Purdue resources, TLCoP sessions, and calls for new content.",1
**Resource & Tool Links**,4,"Multiple URLs and documents (e.g., ChatGPT Faculty FAQ, Library 2.0 Bootcamp notes, University of Utah guidance) are listed to support instructors.",1
**Responsible Use / Data Privacy & Security**,4,"Guidance on not entering personal or student data into generative‑AI tools; emphasis on information security, privacy, compliance.",1
**Responsible Use / Ethical Considerations**,4,"Calls for balancing AI assistance with human judgment, respecting principles, and avoiding over‑reliance.",1
**Risk & Limitations**,4,"Emphasizes that generative‑AI outputs are biased, incomplete, and can pose risks if used improperly; urges users to understand limitations before relying on them.",1
**Risk Management & Cybersecurity**,4,Reference to UW‑503 and related plans for assessing cybersecurity risks before using an AI tool.,1
**Risk Mitigation / Harm Prevention**,4,"Highlights that AI can enhance work but also cause harm if mis‑used, and the guidelines aim to identify and reduce those risks.",1
**Risk Mitigation / Supervision**,4,"Faculty supervision of student use, validation steps, and best‑practice sharing to prevent misuse.",1
**Safeguards & Oversight Framework**,4,"Proposes a three‑part framework to evaluate AI use: no worse than human analysis, bias mitigation, potential for improvement over time.",1
**Sample Policy Frameworks**,4,"Provides example statements from other institutions, grouped into three broad categories.",1
**Sanctions & Consequences**,4,"Possible penalties for violations (probation, suspension, expulsion) and how repeat offenses are handled.",1
**Special Program Governance**,4,"Notes distinct procedures for SSJ, School of Business, SPS, etc., including different deans/directors handling appeals.",1
**Staff Guidelines**,4,Specific instructions for Vol Study Center staff on how to incorporate or avoid AI during sessions and lesson planning.,1
**Student Agency & Partnerships**,4,Encourages involving students in shaping how AI is used in their learning and co‑creating activities.,1
**Student Conduct & Discipline**,4,Mentions vetting by Student Conduct Officers and the nexus to disciplinary procedures for AI misuse.,1
**Student Disclosure**,4,Students should acknowledge non‑incidental AI assistance and disclose it when uncertain.,2
**Student Engagement & Motivation**,4,"Emphasis on building intrinsic motivation, reducing assessment anxiety, and encouraging open dialogue about AI use.",1
**Student Responsibilities & Communication**,4,Students are urged to seek clarification from instructors before using AI and to acknowledge any assistance properly.,1
**Student Responsibility & Expectations**,4,"Emphasis on students’ duty to conform to course‑specific AI policies, acknowledge sources, and assess validity of outputs.",1
**Student Responsibility / Accountability**,4,"Students must ask permission, cite properly, and cannot claim ignorance as an excuse.",1
**Student Usage Policies**,4,Instructors may set their own rules for student use of generative AI; absence of a rule defaults to treating AI as external assistance.,1
**Student Use Motivations**,4,"Discusses why students turn to AI (plagiarism, workload, lack of understanding, time savings).",1
**Syllabus Statements / Policies**,4,Templates and guidance for instructors to embed AI usage rules in course syllabi.,1
**Teaching AI Strengths & Weaknesses**,4,"Educators are encouraged to explain both the benefits (e.g., role‑playing, case generation) and risks (hallucinations, bias) of generative AI.",1
**Teaching Resources**,4,"Reference to the Howe Center for Writing Excellence, Center for Teaching Excellence, and other institutional guides.",1
**Technology‑Enabled Misconduct**,4,"Consulting or submitting work via online sources, phones, or other tech without instructor approval.",2
**Terminology & Disclaimers**,4,"Definitions of LLMs, ChatGPT, and limitations/disclaimers about accuracy and knowledge cut‑offs.",1
**Training & Continuous Improvement**,4,"Calls for ongoing training, bias reporting, and updates to keep AI relevant and unbiased.",1
**Training & Education Resources**,4,"Links to LinkedIn Learning, prompt‑engineering courses, etc.",1
**Unauthorized Assistance**,4,"Any help without prior approval is considered prohibited, including AI tools.",1
**Upskilling & Reskilling**,4,Commitment to train communications professionals in AI tools to increase productivity and career development.,1
**User Responsibility & Accountability**,4,"Students are held fully responsible for final work, including errors made by the AI.",1
**Vendor Approval & Security**,4,"Requirements for approved vendors, security best‑practice obligations, and safeguards for Level 2–4 data.",1
**Writing & Communication Skills**,4,Reference to MLA writing statement; emphasis on professional writing as a learning mode.,1
AI Adoption & Workflow Integration,4,Encourages staff to explore and incorporate generative‑AI tools into daily tasks to streamline processes.,1
AI‑Usage Considerations,4,Provides guidance on when using AI tools may or may not violate the definition of academic misconduct.,1
Academic Integrity / Dishonesty,4,"The policy repeatedly warns that presenting AI‑generated or modified work as one’s own, or using AI in ways not expressly permitted by an instructor, constitutes academic dishonesty and violates the Honor Code.",1
Confidentiality & Security Risks,4,"Highlights risks of disclosing restricted, confidential or sensitive data and urges reporting security incidents.",1
Disclosure,4,"Requires prompt, transparent acknowledgment of GenAI use to avoid misunderstandings and plagiarism.",1
Handling Suspected Dishonesty,4,Procedures for addressing potential AI‑related cheating without relying solely on detection software.,1
Responsible AI Use,4,Emphasis on encouraging students to use generative AI thoughtfully rather than blindly.,1
Rights & Responsibilities,4,General duties and entitlements of students across all policies.,1
**AI Definition & Types**,3,Explains what AI is and distinguishes generative AI from other AI tools.,1
**AI Definitions (GAI vs Assistive AI)**,3,"Clarifies what constitutes Generative AI versus tools that merely embed AI for assistance (e.g., spell‑checkers).",1
**AI Literacy & Awareness**,3,"Calls for expanding knowledge about how AI works across disciplines, encouraging students and faculty to understand underlying processes.",1
**AI System Review / Approval Process**,3,Mentions the university’s review of AI tools for sensitive data use and a list of approved systems.,1
**AI Tool Adoption**,3,"Specific tools (ChatGPT, text‑to‑video translators) are mentioned as being used or encouraged.",1
**AI Tool Usage Guidelines**,3,"Explicit do/​don’t lists for using chatbots, code generators, image/video tools, and attribution requirements.",1
**AI Usage Restrictions**,3,Students are prohibited from using AI‑assisted technology in graded assignments unless explicitly authorized by faculty; this is the core rule of the statement.,1
**AI Usage in Research**,3,The policy specifically addresses the use of generative AI tools in theses and dissertations.,1
**AI Use Categories**,3,"Lists the three possible stances on generative‑AI: no use, limited use, or encouraged use.",1
**AI as a Defensive Tool**,3,Highlights how AI can help companies protect themselves and the market growth for AI‑driven security solutions.,1
"**AI as a Tool, Not a Replacement**",3,"Emphasis that AI assists but does not replace critical thinking, creativity, or writing skill development.",1
**AI&I Office Role**,3,"Introduces the Academic Integrity & Student Conduct office, its responsibilities, and reporting duties.",1
**AI/Automated Tools**,3,"Explicit mention of using AI (e.g., ChatGPT) without instructor approval.",1
**AI‑Detection Reliability**,3,The policy warns that AI‑detection tools are unreliable and can flag legitimate work incorrectly.,1
**AI‑Driven Cyber Attacks**,3,"Describes how attackers use AI to automate, scale, and evade detection in cyber attacks.",1
**AI‑Policy Framework**,3,The overall policy that positions MU as an “AI forward” institution and outlines its strategic priorities for 2024.,1
**AI‑Related Events**,3,"Summits, conferences and symposia organized by the university to discuss AI’s impact in various fields.",1
**AI‑Tool Limitations & Biases**,3,"Emphasis on understanding what AI can and cannot do, including potential errors or biases in its output.",1
**Academic Dishonesty Definition**,3,The policy sets out what constitutes academic dishonesty and the scope of acts that undermine integrity.,1
**Academic Dishonesty**,3,The policy discusses whether using an AI tool can be considered a violation of academic integrity.,1
**Academic Integrity & Bias**,3,"Considerations around academic integrity, bias, intellectual property/copyright implications when using AI tools.",1
**Academic Integrity / Citation Issues**,3,"Discusses the risk of plagiarism, hallucinated references, and the need for clear policies on AI use in coursework.",1
**Academic Integrity / Honesty**,3,"References to academic honesty, plagiarism policy, and the role of instructors in ensuring proper use of AI in coursework.",1
**Academic Integrity / Originality**,3,Emphasis on preserving student originality and preventing AI from supplanting genuine work.,1
**Academic Integrity / Research Misconduct**,3,Requirement to disclose AI use in academic work and avoid publishing undisclosed AI‑generated results.,1
**Academic Integrity Culture**,3,Emphasizes a shared duty among faculty and students to uphold honest work and report suspected violations.,1
**Accessibility & Inclusion**,3,"Using AI to break language barriers, provide transcriptions, image descriptions, and support disabled learners.",1
**Account & Access Controls**,3,Recommends using a Northeastern email address to create an account for institutional use and encourages testing the tool against organizational goals.,1
**Accuracy & Bias Risks**,3,"Generative AI can produce fabricated citations, incorrect facts, and perpetuate biases from training data.",1
**Accuracy & Verification**,3,"Emphasizes the need to check AI‑generated content for errors, biases, and misinformation before use.",1
**Administrative Scope**,3,"The policy applies only to administrative activities at Northeastern, explicitly excluding academic work or faculty research.",1
**Adoption Considerations (Hallucination & Revalidation)**,3,"Notes that models can hallucinate, outputs may change over time and need periodic re‑validation.",1
**Alternatives & Accommodations**,3,"Students who cannot or will not use GenAI should be offered alternatives (e.g., group work, search engines) and accommodations for privacy concerns.",1
**Assessment Alignment**,3,Mention of how the policy ties into assignment directions and grading.,1
**Assessment Design & Validation**,3,"Advises on using varied assessment methods, testing prompts with AI to ensure validity, and avoiding over‑reliance on single‑type assessments.",1
**Assignment Design & Flexibility**,3,Emphasis that policies must be tailored to different assignment types and course objectives.,1
**Authentication & Access Control**,3,"Covers sharing credentials, bypassing authentication, and ensuring only authorized users access systems.",1
**Benefits & Augmentation**,3,"Emphasizes AI’s ability to accelerate tasks, augment human effort, and free people for higher‑level problem solving.",1
**Citation & Documentation Practices**,3,Stresses proper citation of AI‑generated material and documentation of prompts.,1
**Citation / Attribution**,3,Requirement that any AI‑generated text be properly cited as a source.,1
**Citation Guidelines**,3,"Proper citation of AI‑generated content (platform name, usage details) is mandatory; failure constitutes a violation.",1
**Citation Requirements**,3,"Any AI‑generated content must include citations, with additional help available at the Writing Center.",2
**Collaboration & Feedback Loop**,3,Encourages gathering input from stakeholders to refine the policy over time.,1
**Committee/Consultation**,3,Formation of a committee with Faculty Senate to explore broader implications.,1
**Community Input & Transparency**,3,"Encourages open dialogue, public meetings, and feedback from all stakeholders.",1
**Compliance & Legal Considerations**,3,"Reference to compliance with institutional policies and external regulations (e.g., terms of service).",1
**Computational Intelligence Lab**,3,Reference to the dedicated research facility for computational intelligence work.,1
**Confidential Information protection**,3,"Defines what constitutes confidential WPI data (social security numbers, financial info, HIPAA/FERPA‑protected records, etc.) and mandates that it not be entered into generative AI systems.",1
**Confidentiality**,3,Prohibits entering confidential or proprietary data into public AI tools; notes potential data storage by third parties.,1
**Consequences & Discipline**,3,"Unauthorized AI use triggers Honor Code violations, reporting to Student Conduct, and potential Dean’s Discipline proceedings.",1
**Consequences / Reporting**,3,Notes potential penalties (failing grade) and reporting for academic dishonesty.,1
**Consistency Across Departments**,3,Encourages uniform AI expectations across courses and divisions to avoid confusing students.,1
**Consistency with Course/Discipline Expectations**,3,"AI use must match norms set by the discipline, course syllabus, or assignment documentation.",1
**Contextual/Conditional Policy**,3,Highlights that AI policies must be nuanced and tailored rather than one‑size‑fits‑all.,1
**Continuous Monitoring & Updates**,3,The policy acknowledges that AI tools evolve and the guidance may be revised; input from stakeholders is welcomed.,1
**Critical Thinking & Independent Research**,3,Encourages students to use AI as a tool for learning but not as a substitute for their own analysis.,1
**Critical Thinking & Social Responsibility**,3,"Students should develop skills to analyze bias, privacy, IP, and deception risks.",1
**Culture of Integrity**,3,"Calls to build a community that values honesty, trust, and respect beyond mere compliance with rules.",1
**Data Collection & Training**,3,"Covers scraping, training data sources, and the machine‑learning pipeline used to build generative models.",1
**Data Confidentiality / Privacy**,3,"Guidance on handling proprietary work, personal data, and avoiding public tools for confidential info.",1
**Data Privacy & Ownership**,3,Concerns about students’ intellectual property rights and the storage of student work in detection databases.,1
**Data Privacy / Protected Information**,3,"Restrictions on feeding proprietary or personally identifiable data into AI platforms (HIPAA, FERPA, etc.).",1
**Data Privacy**,3,Guidance on what personal or restricted data should *not* be entered into generative‑AI tools.,1
**Data Protection / Confidentiality**,3,Rules protecting Level 2‑4 classified data from being entered into generative AI tools.,1
**Data Security / Privacy**,3,Rules about not entering confidential data into unapproved tools and the risk of exposing proprietary information.,1
**Data Volume & Analytics**,3,Emphasis on the sheer scale of data being generated and the need to make sense of it.,1
**Decentralized Decision‑Making**,3,The policy advocates a bottom‑up approach where individual faculty decide on AI use rather than a top‑down mandate.,1
**Definition of Generative AI**,3,"A clear, discipline‑specific definition is required, including relevant tools such as text, image, or code‑interpreter variants.",1
**Detection / Monitoring**,3,"Mention of using AI tools for comparison, reviewing fabricated sources, and the limitations of online “AI detection” programs.",1
**Disciplinary & Contextual Differences**,3,"Notes that AI’s impact varies by field, course modality, and student major.",1
**Disciplinary Consequences**,3,"Inappropriate AI use can lead to disciplinary actions up to dismissal, as outlined in the Academic Honesty Policy.",1
**Disclosures & Attribution**,3,"Requires disclosure of AI use, prohibits plagiarism, and mandates proper attribution of AI‑generated content.",1
**Documentation & Transparency**,3,"Encourages documenting AI usage in conversations, reports, and referencing the tool to maintain transparency.",1
**Due Process / Appeals Board Composition**,3,"Structure of the Academic Integrity Appeals Board (provost‑appointed, faculty mix, no conflict).",1
**Equity & Algorithmic Bias**,3,"Highlights how AI can reflect societal biases (e.g., facial recognition, gender bias in prompts) and urges equity‑focused discussions.",1
**Ethical & Bias Concerns**,3,"Highlighting issues of bias, accuracy, authorship, IP, and the broader ethical implications of Gen AI.",1
**Ethical & Transparent Use**,3,"The policy emphasizes that generative‑AI integration must be conducted responsibly, with an emphasis on integrity and openness throughout the proposal cycle.",1
**Ethical AI**,3,"The policy emphasizes responsible, ethical use of AI across campus activities.",1
**Ethical Considerations / Bias**,3,"Discussion of bias risks, mitigation strategies, and ethical use of AI.",1
**Ethical Use & Bias**,3,"Discussion of responsible use, bias in training data, prompt engineering, and ethical considerations.",1
**Ethical Use / Critical Engagement**,3,"Encourages students to evaluate how AI fits within academic/professional expectations (process docs, reflection).",1
**Ethics & Privacy Concerns**,3,"Raises questions about data privacy, potential harm, and ethical considerations when using generative AI.",1
**Event Commemoration & Public Engagement**,3,The project is tied to the university’s bicentennial commencement and includes plans for an open seminar on the process.,1
**Exam / Closed‑Session Rules**,3,Restrictions on electronic devices and AI use during exams or closed assignments.,1
**Exam Question Robustness**,3,"Recommends altering exam formats to reduce reliance on AI (e.g., obscure or recent sources, direct quotations).",1
**Exam Security & Test Administration**,3,"Procedures for test security, proctoring, question reuse, etc.",1
**External Resources**,3,"Links to external blogs, QAHA briefing paper, and University of Maryland materials for further learning.",1
**Faculty Autonomy & Guidance**,3,"Encouragement for faculty to adjust templates, list approved platforms, and consult instructors on ambiguous cases.",1
**Faculty Decision‑Making**,3,Encouragement for instructors to decide context‑specific policies and communicate them clearly.,1
**Faculty Development & Resources**,3,"Provides workshops, tutorials, and materials to help faculty integrate AI gradually.",1
**Faculty Discretion & Guidance**,3,Encouragement that instructors decide whether to allow AI use and how to frame expectations.,1
**Faculty Discretion / Syllabus Policy**,3,Emphasis that each instructor can set their own AI policy and must post it on the syllabus with guidance from the McGraw Center.,1
**Faculty Expectations on AI Use**,3,Emphasis that faculty must set clear expectations for students regarding AI tools in coursework.,1
**Faculty Experimentation**,3,Encouraging faculty to try ChatGPT themselves to understand its capabilities and limits.,1
**Fairness & Accessibility**,3,Mention that unequal access to AI tools can create unfair advantages and should be considered when setting policies.,1
**Fairness & Equity**,3,Emphasis on maintaining a level playing field and preventing disparities from unequal AI access.,1
**Findings & Sanctions**,3,"Preparation of written findings, possible sanctions differing from dean’s recommendation.",1
**Future Outlook & Policy Planning**,3,"Calls for charting AI’s trajectory with developers/policymakers, covering IP, ethics, safety, and sustainability.",1
**Future Technology**,3,"Discussion of the evolving nature of AI, upcoming detection solutions, and ongoing exploration of new tech implications.",1
**Generative AI Impact on Education**,3,"Highlights how genAI tools are reshaping teaching, learning and skill development for students.",1
**Generative AI Overview**,3,Introductory explanation of what generative AI is and examples of tools/products.,1
**Generative‑AI Tools**,3,"Mentions specific products (Microsoft Copilot, chat, code generation, image/video creation) and the intent to make them widely available.",1
**Guidance & Resources**,3,Refers to the university’s guide on generative AI and provides links to external policy documents for researchers.,1
**Guideline Updates & Compliance**,3,Statement that guidelines will evolve with technology and align with existing university policies.,1
**Honesty**,3,Explicitly required behavior; students must be truthful in all academic endeavors.,1
**Honor Code / Honor Council Standards**,3,Reference to Georgetown’s official standards on conduct regarding AI and academic honesty.,1
**Honor‑Court / Violation Consequences**,3,Non‑compliance can be a reportable violation to the UNC Honor Court.,1
**Human Touch / Relationship Preservation**,3,Emphasizes that AI should not replace human interaction or relationships in work processes.,1
**Human‑AI Balance**,3,"Advice against over‑reliance on AI; it should augment, not replace human creativity and strategy.",1
**Incident Reporting**,3,Obligation to report any breach of data protection or confidentiality arising from AI use.,1
**Institutional Investment**,3,"The policy outlines capital and resource commitments to AI‑related initiatives (e.g., the Connolly Alexander Institute).",1
**Institutional Policy Flexibility**,3,Argument that the current policy is broad enough to cover new technologies without major changes.,1
**Institutional Position**,3,Statement that Charlotte has no plans to restrict AI usage outright and will explore future detection tools.,1
**Institutional Support & Resources**,3,"Mentions the Center for Excellence in Teaching and Learning, Chapman AI Hub, and academic integrity committee.",1
**Institutional vs Departmental Rules**,3,Mention that each college or department may have its own guidelines.,1
**Instructor Decision**,3,The policy places the ultimate authority on whether GenAI is allowed in a course with instructors weighing learning goals and course content.,1
**Instructor Guidance & Syllabus Integration**,3,"Suggestions for instructors on how to embed AI policies into syllabi, assignments, and class discussions.",1
**Instructor Policies**,3,Individual instructors may set their own rules for AI usage in assignments.,1
**Instructor Support & Consultation**,3,Availability of instructional designers or faculty help in drafting policies.,1
**Intellectual Property & Bias Concerns**,3,"Notes that AI outputs may contain biases, be fabricated, or raise IP issues due to unknown source data.",1
**Intellectual Property Rights**,3,"Concerns about IP infringement, privacy violations in training data, and uncertainty around patentability of AI‑generated research outputs.",1
**Intellectual Property**,3,"Need to verify permissions, cite sources, and avoid copyright infringement when using GenAI‑derived content.",1
**Interdisciplinary Education & Literacy**,3,"AI education spans philosophy, ethics, social sciences, health, business, etc.",1
**Learning‑Objective Alignment**,3,Decisions about allowing AI hinge on whether the tool supports or undermines course learning objectives.,1
**Legal & Ethical Review**,3,Acknowledgement that the legality and ethics of AI‑generated media are evolving; policy will be updated as laws change.,1
**Library Collaboration**,3,"Details librarian roles in teaching AI tools, offering consultations, and supporting faculty.",1
**Limitations / Risks**,3,"Notes issues like hallucinations, inaccurate facts, mismatched citations, and lack of attribution.",1
**Local Authority / Instructor Discretion**,3,"Instructors have latitude to decide how AI is used within their courses, subject to campus policies.",1
**Misinformation / Hallucinations**,3,Advice to verify accuracy of AI output because GenAI can produce fabricated facts or sources.,1
**Misuse Response & Root‑Cause Thinking**,3,"Advice on addressing why students misuse AI (e.g., grammar anxiety) rather than punitive measures alone.",1
**Monitoring & Dialogue**,3,Ongoing monitoring of the technology’s evolution and a need for continuous stakeholder dialogue.,1
**Newness & Uncertainty of AI**,3,"Acknowledgement that AI is a “Wild West” territory, requiring grace and informal handling initially.",1
**Output Citation / Attribution**,3,Requirement to acknowledge when content or analysis is AI‑generated.,1
**Pedagogical Alignment**,3,"Decisions about AI use should be guided by course learning outcomes (knowledge, skills, dispositions).",1
**Pedagogical Strategies with AI**,3,"A list of ten teaching activities that incorporate or mitigate AI use (prompt competition, reflection, dual assignments, etc.).",1
**Pedagogy & Learning Impact**,3,"Raises questions about how AI will affect teaching methods and student learning outcomes, inviting faculty input.",1
**Personalized Learning**,3,"Emphasis on AI’s ability to tailor instruction to individual student learning patterns, strengths, and weaknesses.",1
**Plagiarism / credit**,3,Emphasis on giving proper credit to avoid presenting AI output as one’s own.,1
**Policy & Disclosure Guidelines**,3,Provides sample language for authorship attribution and disclosure of AI‑generated content in academic work.,1
**Policy & Guidelines**,3,"Reference to guidelines for teaching and learning, boundaries on AI use, and living documents that may be updated.",1
**Policy Absence**,3,The university has no formal AI policy; decisions are left to individual professors.,1
**Policy Adaptation / Source Attribution**,3,"The policy notes that it is adapted from other institutions (CMU, Harvard) and cites those sources.",1
**Policy Alignment & Guidance**,3,Indicates that the guidelines are supported by existing university policies and external reports.,1
**Policy Clarity & Syllabus Integration**,3,Emphasizes the need to explicitly state AI‑use rules in syllabi and discuss them regularly.,1
**Policy Examples / Templates**,3,The text provides concrete examples from other institutions as starting points.,1
**Policy Flexibility / Revisiting**,3,Acknowledgement that the policy will be revisited as LLM technology and subscription models evolve or other policies supersede it.,1
**Policy Governance**,3,"The document is jointly authored by IT, General Counsel, and Audit & Compliance, establishing a formal framework for AI use at the university.",1
**Policy Guidance**,3,"Mention of syllabi language, instructor instructions, and resources for faculty and students on responsible use.",1
**Policy Status / Disclaimer**,3,Statement that the university currently has no formal AI policy; reference to academic‑integrity policy covering student use.,1
**Policy Status**,3,Indicates that CSUSB currently lacks an official generative‑AI policy and encourages instructors to develop their own.,1
**Positive Engagement / Benefits**,3,"Encouragement of using AI to deepen liberal‑arts education, critical thinking, and course engagement while avoiding integrity infractions.",1
**Practical Prompt Examples**,3,"Sample prompts (titles, summaries, templates, feedback) illustrating how to use GenAI.",1
**Privacy / FERPA Compliance**,3,"Guidance on protecting student data when using AI tools, including consent and data sharing.",1
**Proctoring Tools**,3,"Guidance on using Proctorio for in‑person and remote exams, including its role as a supplement to live proctoring.",1
**Procurement & OIT Coordination**,3,"Advises users to consult with OIT for approved tools, funding, and privacy/security safeguards.",1
**Procurement & Vendor Assessment**,3,"Rules for acquiring AI tools, risk assessment by the Office of Information Security.",1
**Prohibition / Zero‑Tolerance**,3,"Explicit bans on AI usage for any part of coursework, labeling it academic dishonesty and plagiarism.",1
**Prompt Engineering / Tool Literacy**,3,Encourages students to learn how to craft effective prompts and use AI tools productively.,1
**Proper Attribution**,3,Requirement that any non‑original material be clearly credited.,1
**Regulatory & Legal Compliance**,3,"Mentions of export control laws, Executive Order on AI safety, and other federal/state legal requirements.",1
**Regulatory Monitoring**,3,Note that federal and EU regulations are evolving; the university will update guidance accordingly.,1
**Religious Accommodation**,3,Policy allows excusal for absences caused by religious beliefs and provides makeup opportunities without fees or adverse effects.,1
**Resources & Practical Tools**,3,"Availability of sample rubrics, syllabi statements, Canvas resources, and testing assignments with ChatGPT.",1
**Resources / News**,3,"Mentions of news items, conferences, and research initiatives related to AI.",1
**Responsibility & Corrective Action**,3,Stresses that users must correct misinformation produced by AI and take responsibility for the content they publish.,1
**Responsible AI Design**,3,"Principles for building safe, fair systems across model, software, UI, and policy layers.",1
**Responsible Conduct of Research (RCR)**,3,The policy frames the use of AI within the broader context of ethical research practices and highlights that it remains a grey area.,1
**Responsible Use / Risk Assessment**,3,"Guidance for faculty/staff to acquire enterprise editions, submit tools for risk assessment, validate outputs, and incorporate fact‑checking processes.",1
**Responsible Use Guidelines**,3,"Faculty are urged to follow guidelines that promote ethical, inclusive, and equitable use of AI tools.",1
**Responsible/Integrity Use**,3,"Emphasizes ethical considerations, academic honesty, and the need to practice integrity when using AI‑generated content.",1
**Risk Assessment & Use Restrictions**,3,"Lists high‑risk activities (hiring, student evaluation, investment decisions) that need a risk assessment before AI use.",1
"**Risk Assessment Tools (e.g., COMPAS)**",3,Provides a detailed example of how AI is used in criminal justice for pre‑trial release and sentencing decisions.,1
**Roles of Provost & Administration**,3,"Authority of the Provost to appoint officers, supplement the committee, and oversee policy implementation.",1
**Sabotage**,3,"Actions that prevent others from completing their work (e.g., disturbing labs).",2
**Sanctions & Reporting**,3,"Discusses when to report to the Office of Academic Integrity and typical charges (e.g., falsifying academic materials).",1
**Sanctions / Penalties**,3,Outlines possible disciplinary actions ranging from warnings to dismissal for violations of the rules.,1
**Security & Trustworthiness**,3,Notes that outputs may be convincing but not authoritative; need independent validation.,1
**Societal Impact / Rapid Tech Change**,3,"Connecting the use of AI tools to broader societal, economic, and technological challenges highlighted by university strategy.",1
**Stakeholder Interests**,3,"The policy lists perspectives of students, families, professors, university, employers, and peers to justify its provisions.",1
**Student Accountability**,3,Students are responsible for following the rules laid out in syllabi and honor code.,1
**Student Agency & Opt‑Out**,3,Recommends voluntary AI use or providing alternative assignments for students who prefer not to create accounts or share sensitive data.,1
**Student Awareness & Conduct Standards**,3,Encouraging instructors to discuss authorized vs. unauthorized use and linking to university conduct policies.,1
**Student Engagement & Community Building**,3,"Encourages using media (movies, news) to spark conversation, building a community of inquiry, and trusting students.",1
**Student Engagement**,3,Calls for student participation in community events and reporting procedures.,1
**Student Guidance & Transparency**,3,"Advice on how to explain AI rules, rationale, and expectations to students.",1
**Student Learning Experience**,3,Concerns about students “short‑cutting” learning or gaining full experience.,1
**Student Perceptions & Buy‑in**,3,"Discussion of students’ concerns (privacy, ethics, honesty) and the need to engage them in dialogue about AI.",1
**Student Responsibility & Academic Integrity**,3,Students must follow faculty‑set guidelines; misuse violates honor code.,1
**Student Responsibility & Learning Autonomy**,3,Students are reminded that they came for their own education and should not let AI do the learning for them; responsibility is highlighted.,1
**Student Use & Acknowledgement**,3,Requiring students to disclose and reflect on tools used in their work.,1
**Student learning outcomes**,3,Questions about whether AI helps students master course objectives and overall academic progress.,1
**Support Resources**,3,"Mentions external offices (CATT, OAI) and tools (Turnitin, Brightspace) that can help instructors.",1
**Surveys & Best‑Practice Research**,3,"Conducting surveys of faculty, staff, students and reviewing national/international best practices.",1
**Syllabus Language**,3,The policy urges instructors to add explicit statements about AI use in their syllabi.,1
**Task Force & Governance**,3,"Establishment of an Academic Affairs AI Task Force chaired by the Provost, with faculty, staff, and admin representation.",1
**Teaching & Learning**,3,"Initiatives to integrate AI into curriculum design, course planning, and faculty development.",2
**Teaching Impact**,3,"Encourages reflection on threats, opportunities, and alignment with existing policies.",1
**Technical & Policy Infrastructure Alignment**,3,"Collaboration with IT leadership to align infrastructure with faculty, staff, and student work.",1
**Technology Evaluation / Experimentation**,3,Encouragement to test AI tools on assignments before deciding policy or use.,1
**Technology Landscape & Future Tools**,3,"Describes current and upcoming generative‑AI platforms (Microsoft, Google, Meta, etc.) and encourages instructors to think beyond ChatGPT.",1
**Tool Comparison (ChatGPT vs Copilot)**,3,"Distinguishing features, licensing, and data handling of each tool.",1
**Tool Details**,3,"Individual descriptions of Perplexity, Research Rabbit, and Scispace with features and usage notes.",1
**Tool Examples**,3,"Specific generative‑AI tools (ChatGPT, Bing AI, Google Bard) are cited as illustrative cases.",1
**Tool Vetting & Availability**,3,"Listing of vetted university‑approved AI tools (Zoom AI Companion, GitHub Copilot Business) and conditions for their use.",1
**Toolkit / Guidelines**,3,"Details the purpose, structure, and audience‑specific guidance provided by the AI Toolkit.",1
**Training & Education**,3,"Availability of faculty/staff training courses, LinkedIn Learning partnerships, and a “Use” syllabus for AI.",1
**Training & Resources**,3,"Links to instructional support, training materials, prompt lists, and limit‑awareness resources.",1
**Transparency & Documentation**,3,"Encouragement to document AI usage, disclose limitations, and keep records of outputs.",1
**Transparency & Human‑in‑the‑Loop**,3,Requirement that humans remain involved in AI‑assisted processes to avoid “blackbox” outcomes.,1
**Transparency & Intellectual Honesty**,3,Clear disclosure of AI involvement and avoidance of deceptive practices.,1
**Transparency / Labeling**,3,"All AI content must be clearly identified, with tool name, date, prompts, and any edits disclosed to faculty and peers.",1
**Transparency About AI Use**,3,Students are urged to disclose when AI contributed ideas or text in their work.,1
**Unauthorized Materials / Fabricated Data**,3,"Use of unapproved materials, fabricated data, or falsified documents.",1
**Uncertainty & Accuracy**,3,Concerns about the reliability of AI detection tools and AI outputs.,1
**Usage Restrictions Spectrum**,3,Range from “no restrictions” to “prohibited under all circumstances.”,1
